Component,References,MFGR,MPN,Value,Tolerance,Desc,Footprint,Stock,Stock Date,Quantity Per PCB,Unit Cost
23,C9 C10 C11 C12 C13 C14 C15 C16 C17 C21 C24 C29 C30 C34 C36 C37 C42 C48 C91 C92 C93 C94 C95 C96 C97 C98 C99 C103 C106 C111 C112 C116 C118 C119 C124 C130 C163 C164 C165 C166 C224 C225 C226 C227 C228 C232 C235 C240 C241 C245 C247 C248 C253 C259 C266 C267 C268 C269 C270 C271 C272 C273 C274 C278 C281 C286 C287 C291 C293 C294 C299 C305 C389 C390 C391 C392 C393 C394 C395 C396 C397 C401 C404 C409 C410 C414 C416 C417 C422 C428 C435 C436 C437 C438 C439 C440 C441 C442 C443 C447 C450 C455 C456 C460 C462 C463 C468 C474 C558 C559 C560 C561 C562 C563 C564 C565 C566 C570 C573 C578 C579 C583 C585 C586 C591 C597 C604 C605 C606 C607 C608 C609 C610 C611 C612 C616 C619 C624 C625 C629 C631 C632 C637 C643 C727 C728 C729 C730 C731 C732 C733 C734 C735 C739 C742 C747 C748 C752 C754 C755 C760 C766 C773 C774 C775 C776 C777 C778 C779 C780 C781 C785 C788 C793 C794 C798 C800 C801 C806 C812 C896 C897 C898 C899 C900 C901 C902 C903 C904 C908 C911 C916 C917 C921 C923 C924 C929 C935 C942 C943 C944 C945 C946 C947 C948 C949 C950 C954 C957 C962 C963 C967 C969 C970 C975 C981 C1065 C1066 C1067 C1068 C1069 C1070 C1071 C1072 C1073 C1077 C1080 C1085 C1086 C1090 C1092 C1093 C1098 C1104 C1111 C1112 C1113 C1114 C1115 C1116 C1117 C1118 C1119 C1123 C1126 C1131 C1132 C1136 C1138 C1139 C1144 C1150 C1234 C1235 C1236 C1237 C1238 C1239 C1240 C1241 C1242 C1246 C1249 C1254 C1255 C1259 C1261 C1262 C1267 C1273 C1280 C1281 C1282 C1283 C1284 C1285 C1286 C1287 C1288 C1292 C1295 C1300 C1301 C1305 C1307 C1308 C1313 C1319,Würth Elektronik,885012206045,0.068 uF,10%,CAP CER 0.068UF 16V X7R 0603,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,3629,12/14/2023,288,0.10
24,C73 C144 C337 C375 C506 C544 C675 C713 C844 C882 C1013 C1051 C1182 C1220 C1351 C1389 D34 D35 J11 J12 J13 J14 J39 J40 JP1 JP2 U18 U30 U61 U63 U88 U90 U115 U117 U142 U144 U169 U171 U196 U198 U223 U225,DNI,DNI,0.068 uF,10%,CAP CER 0.068UF 50V X7R 0805 LED GREEN CLEAR 2SMD 2 mA TEST CURRENT Debug Header Pins Only CONN MMCX JACK STR 50 OHM PCB CONN HEADER VERT 2POS 2.54MM IC RF DETECT 100MHZ-2.5GHZ SOT23,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10072 11251 N/A 15028 154069 12578,10/13/2023 09/15/2023 N/A 11/28/2023 11/22/2023 11/23/2023,42,0.0 0.00
25,C3 C4 C8 C19 C20 C32 C47 C76 C84 C88 C90 C101 C102 C114 C129 C147 C160 C162 C173 C177 C180 C230 C231 C243 C258 C265 C276 C277 C289 C304 C340 C343 C347 C378 C381 C385 C386 C388 C399 C400 C412 C427 C434 C445 C446 C458 C473 C509 C512 C516 C547 C550 C554 C555 C557 C568 C569 C581 C596 C603 C614 C615 C627 C642 C678 C681 C685 C716 C719 C723 C724 C726 C737 C738 C750 C765 C772 C783 C784 C796 C811 C847 C850 C854 C885 C888 C892 C893 C895 C906 C907 C919 C934 C941 C952 C953 C965 C980 C1016 C1019 C1023 C1054 C1057 C1061 C1062 C1064 C1075 C1076 C1088 C1103 C1110 C1121 C1122 C1134 C1149 C1185 C1188 C1192 C1223 C1226 C1230 C1231 C1233 C1244 C1245 C1257 C1272 C1279 C1290 C1291 C1303 C1318 C1354 C1357 C1361 C1392 C1395 C1399,Yageo,CC0805KRX7R8BB104,0.1 uF,10%,CAP CER 0.1UF 25V X7R 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,297406,11/23/2023,138,0.14
26,C22 C23 C25 C26 C27 C33 C35 C38 C39 C40 C41 C44 C49 C50 C51 C52 C104 C105 C107 C108 C109 C115 C117 C120 C121 C122 C123 C126 C131 C132 C133 C134 C183 C184 C185 C186 C187 C188 C189 C190 C191 C192 C193 C194 C195 C196 C197 C198 C199 C200 C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C213 C214 C215 C216 C217 C218 C219 C220 C221 C222 C223 C233 C234 C236 C237 C238 C244 C246 C249 C250 C251 C252 C255 C260 C261 C262 C263 C279 C280 C282 C283 C284 C290 C292 C295 C296 C297 C298 C301 C306 C307 C308 C309 C402 C403 C405 C406 C407 C413 C415 C418 C419 C420 C421 C424 C429 C430 C431 C432 C448 C449 C451 C452 C453 C459 C461 C464 C465 C466 C467 C470 C475 C476 C477 C478 C571 C572 C574 C575 C576 C582 C584 C587 C588 C589 C590 C593 C598 C599 C600 C601 C617 C618 C620 C621 C622 C628 C630 C633 C634 C635 C636 C639 C644 C645 C646 C647 C740 C741 C743 C744 C745 C751 C753 C756 C757 C758 C759 C762 C767 C768 C769 C770 C786 C787 C789 C790 C791 C797 C799 C802 C803 C804 C805 C808 C813 C814 C815 C816 C909 C910 C912 C913 C914 C920 C922 C925 C926 C927 C928 C931 C936 C937 C938 C939 C955 C956 C958 C959 C960 C966 C968 C971 C972 C973 C974 C977 C982 C983 C984 C985 C1078 C1079 C1081 C1082 C1083 C1089 C1091 C1094 C1095 C1096 C1097 C1100 C1105 C1106 C1107 C1108 C1124 C1125 C1127 C1128 C1129 C1135 C1137 C1140 C1141 C1142 C1143 C1146 C1151 C1152 C1153 C1154 C1247 C1248 C1250 C1251 C1252 C1258 C1260 C1263 C1264 C1265 C1266 C1269 C1274 C1275 C1276 C1277 C1293 C1294 C1296 C1297 C1298 C1304 C1306 C1309 C1310 C1311 C1312 C1315 C1320 C1321 C1322 C1323,Yageo,CC1206KKX7RYBB104,0.1 uF,10%,CAP CER 0.1UF 250V X7R 1206,C_1206_3216Metric_Pad1.6x1.8mm,1075,03/02/2022,297,0.33
27,C7 C89 C161 C264 C387 C433 C556 C602 C725 C771 C894 C940 C1063 C1109 C1232 C1278,Würth Elektronik,885012206095,0.1 uF,10%,CAP CER 0.1UF 50V X7R 0603,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,69813,10/12/2024,16,0.10
28,C28 C43 C45 C110 C125 C127 C239 C254 C256 C285 C300 C302 C408 C423 C425 C454 C469 C471 C577 C592 C594 C623 C638 C640 C746 C761 C763 C792 C807 C809 C915 C930 C932 C961 C976 C978 C1084 C1099 C1101 C1130 C1145 C1147 C1253 C1268 C1270 C1299 C1314 C1316,Würth Elektronik,885012206050,0.47 uF,10%,CAP CER 0.47UF 16V X7R 0603,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,20496,12/14/2023,48,0.10
29,C86 C175 C345 C383 C514 C552 C683 C721 C852 C890 C1021 C1059 C1190 C1228 C1359 C1397,Yageo,C0805C684K5RAC7800,0.68 uF,10%,CAP CER 0.68UF 50V X7R 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,260679,09/17/2023,16,0.19
30,C83 C172 C342 C380 C511 C549 C680 C718 C849 C887 C1018 C1056 C1187 C1225 C1356 C1394,YAGEO,CC0805KFX7R8BB105,1 uF,10%,CAP CER 1UF 25V X7R 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53738,09/17/2023,16,0.14
31,C87 C176 C346 C384 C515 C553 C684 C722 C853 C891 C1022 C1060 C1191 C1229 C1360 C1398,Murata Electronics,GRM21BZ71E106KE15L,10 uF,10%,CAP CER 10UF 25V X7R 0805,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,37566,09/17/2023,16,0.21
32,C1 C2 C5 C6 C1400 C1401 C1402 C1403 C1404 C1405 C1406 C1407 C1408 C1409 C1410 C1411 C1412 C1413,Taiyo Yuden,EMK316BB7226ML-T,22 uF,10%,CAP CER 22UF 16V X7R 1206,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,201737,09/15/2023,18,0.75
33,D1 D2,Micro Commercial Co,3SMBJ5925B-TP,10V,NA,DIODE ZENER 10V 3W DO214AA,D_SMB,205135,4/8/2020,2,0.39
34,D31 D32,SMC Diode Solutions,1N4148W,1N4148W,,DIODE GEN PURP 75V 250MA SOD123,D_SOD-123,554913,11/22/2023,2,0.09
35,D12 D18 D20 D25 D27 D30 D39 D42 D47 D49 D54 D56 D61 D63 D68 D70,Diodes Incorporated,B260A-13-F,B260A,,DIODE SCHOTTKY 60V 2A SMA,D_SMA_Handsoldering,173952,09/17/2023,16,0.37
36,D9 D13 D15 D16 D22 D23 D36 D37 D44 D45 D51 D52 D58 D59 D65 D66,Diodes Incorporated,BAV99-7-F,BAV99_F,,DIODE ARRAY GP 75V 300MA SOT23-3,SOT-23,1758951,11/23/2023,16,0.10
37,D6 D8 D71 D72 D73 D74 D75 D76 D77,Kingbright,APT3216LVBC/D,BLUE,,LED BLUE CLEAR 2SMD 2 mA test 1206 (3216),LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,40919,08/29/2024,9,0.39
38,D5 D7,Kingbright,APTD3216LCGCK,GREEN,,LED GREEN CLEAR 2SMD,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,22596,08/29/2024,2,0.25
39,D11 D17 D19 D24 D26 D29 D38 D40 D46 D48 D53 D55 D60 D62 D67 D69,Kingbright,APT3216LSECK/J3-PRV,RED,,LED RED CLEAR 2SMD,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,10174,08/29/2024,16,0.39
40,D33,SMC Diode Solutions,SM712,SM712_SOT23,,"7V/12V TVS,PACKAGE SOT-23, TVS A",SOT-23,11947,11/22/2023,1,0.04
41,D10,Littelfuse Inc.,SMAJ20CA,SMAJ20CA,,TVS DIODE 20VWM 32.4VC DO214AC,D_SMA,29114,09/17/2023,1,0.43
42,D3 D4,STMicroelectronics,T3035H-6G-TR,T3035H-6G-TR,NA,TRIAC ALTERNISTOR 600V 30A D2PAK,TO-263-2,1960,4/8/2020,2,1.83
43,D14 D21 D28 D41 D43 D50 D57 D64,Kingbright,APT3216LSYCK/J3-PRV,YELLOW,,LED YELLOW CLEAR 2SMD,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,16358,08/29/2024,8,0.19
44,F1 F2,Keystone Electronics,3568,Mini ATM,NA,FUSE HOLDER BLADE 500V 30A PCB,Fuseholder_Blade_Mini_Keystone_3568_3D_Fuse,56086,03/08/2020,2,1.03
45,FB1 FB2 FB3 FB4 FB5 FB6 FB7 FB8 FB9 FB10 FB11 FB12 FB13 FB14 FB15 FB16 FB17 FB18 FB19 FB20 FB21 FB22 FB23 FB24 FB25 FB26 FB27 FB28 FB29 FB30 FB31 FB32 FB33 FB34 FB35 FB36 FB37 FB38 FB39 FB40 FB41 FB42 FB43 FB44 FB45 FB46 FB47 FB48,Laird-Signal Integrity Products,HZ0805C202R-10,HZ0805C202R-10,NA,FERRITE BEAD 2 KOHM 0805 1LN,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180780,03/03/2022,48,0.10
46,J1 J2,TE Connectivity AMP Connectors,826470-4,826470-4,,CONN HEADER SHROUDED R/A 8POS 2.54MM,AMPMODU_Mod II_826470-4_2x04_P2.54mm_Horizontal_Edge,1608,01/17/2024,2,2.35
47,J4,Molex,0431603104,Conn_01x04,,CONN HDR 4POS 7.50MM R/A SLDR,Molex_Sabre_43160-3104_3D_ThermalVias,12144,11/23/2023,1,2.32
48,J5,Molex,0022124042,Conn_01x04,,CONN HEADER R/A 4POS 2.54MM,Molex_0022124042_1x04_P2.54mm_Horizontal,16447,11/22/2023,1,0.75
49,J3,Molex,0431603106,Conn_01x06,,CONN HDR 6POS 7.50MM R/A SLDR BRD LOCK,Molex_Sabre_43160-3106_3D_Horizontal_ThermalVias,5206,03/08/2024,1,2.63
